date,value,id,state
1990-01-01,1635.5,ALNA,AL
1990-02-01,1633.5,ALNA,AL
1990-03-01,1632.0,ALNA,AL
1990-04-01,1643.7,ALNA,AL
1990-05-01,1648.9,ALNA,AL
1990-06-01,1650.5,ALNA,AL
1990-07-01,1652.1,ALNA,AL
1990-08-01,1649.8,ALNA,AL
1990-09-01,1651.3,ALNA,AL
1990-10-01,1647.1,ALNA,AL
1990-11-01,1648.3,ALNA,AL
1990-12-01,1648.0,ALNA,AL
1991-01-01,1646.0,ALNA,AL
1991-02-01,1641.6,ALNA,AL
1991-03-01,1644.3,ALNA,AL
1991-04-01,1644.5,ALNA,AL
1991-05-01,1646.6,ALNA,AL
1991-06-01,1648.0,ALNA,AL
1991-07-01,1654.3,ALNA,AL
1991-08-01,1655.3,ALNA,AL
1991-09-01,1656.7,ALNA,AL
1991-10-01,1658.9,ALNA,AL
1991-11-01,1658.1,ALNA,AL
1991-12-01,1659.2,ALNA,AL
1992-01-01,1666.5,ALNA,AL
1992-02-01,1668.1,ALNA,AL
1992-03-01,1670.7,ALNA,AL
1992-04-01,1671.4,ALNA,AL
1992-05-01,1679.8,ALNA,AL
1992-06-01,1679.0,ALNA,AL
1992-07-01,1683.4,ALNA,AL
1992-08-01,1696.7,ALNA,AL
1992-09-01,1686.8,ALNA,AL
1992-10-01,1697.5,ALNA,AL
1992-11-01,1699.7,ALNA,AL
1992-12-01,1703.3,ALNA,AL
1993-01-01,1705.9,ALNA,AL
1993-02-01,1713.6,ALNA,AL
1993-03-01,1712.9,ALNA,AL
1993-04-01,1721.2,ALNA,AL
1993-05-01,1722.8,ALNA,AL
1993-06-01,1726.2,ALNA,AL
1993-07-01,1727.2,ALNA,AL
1993-08-01,1732.0,ALNA,AL
1993-09-01,1729.7,ALNA,AL
1993-10-01,1741.3,ALNA,AL
1993-11-01,1742.1,ALNA,AL
1993-12-01,1744.7,ALNA,AL
1994-01-01,1744.2,ALNA,AL
1994-02-01,1746.5,ALNA,AL
1994-03-01,1752.3,ALNA,AL
1994-04-01,1754.9,ALNA,AL
1994-05-01,1757.6,ALNA,AL
1994-06-01,1767.4,ALNA,AL
1994-07-01,1768.6,ALNA,AL
1994-08-01,1776.6,ALNA,AL
1994-09-01,1785.4,ALNA,AL
1994-10-01,1783.3,ALNA,AL
1994-11-01,1803.6,ALNA,AL
1994-12-01,1794.6,ALNA,AL
1995-01-01,1804.1,ALNA,AL
1995-02-01,1805.2,ALNA,AL
1995-03-01,1808.5,ALNA,AL
1995-04-01,1810.2,ALNA,AL
1995-05-01,1811.5,ALNA,AL
1995-06-01,1818.8,ALNA,AL
1995-07-01,1813.2,ALNA,AL
1995-08-01,1818.0,ALNA,AL
1995-09-01,1819.8,ALNA,AL
1995-10-01,1821.9,ALNA,AL
1995-11-01,1826.5,ALNA,AL
1995-12-01,1829.3,ALNA,AL
1996-01-01,1829.1,ALNA,AL
1996-02-01,1830.1,ALNA,AL
1996-03-01,1833.1,ALNA,AL
1996-04-01,1833.5,ALNA,AL
1996-05-01,1835.8,ALNA,AL
1996-06-01,1835.4,ALNA,AL
1996-07-01,1839.6,ALNA,AL
1996-08-01,1844.6,ALNA,AL
1996-09-01,1846.1,ALNA,AL
1996-10-01,1852.5,ALNA,AL
1996-11-01,1857.6,ALNA,AL
1996-12-01,1857.4,ALNA,AL
1997-01-01,1864.9,ALNA,AL
1997-02-01,1866.0,ALNA,AL
1997-03-01,1872.6,ALNA,AL
1997-04-01,1874.5,ALNA,AL
1997-05-01,1876.9,ALNA,AL
1997-06-01,1876.3,ALNA,AL
1997-07-01,1880.1,ALNA,AL
1997-08-01,1878.5,ALNA,AL
1997-09-01,1883.6,ALNA,AL
1997-10-01,1888.8,ALNA,AL
1997-11-01,1892.0,ALNA,AL
1997-12-01,1893.4,ALNA,AL
1998-01-01,1896.6,ALNA,AL
1998-02-01,1900.1,ALNA,AL
1998-03-01,1902.7,ALNA,AL
1998-04-01,1912.5,ALNA,AL
1998-05-01,1915.5,ALNA,AL
1998-06-01,1921.8,ALNA,AL
1998-07-01,1905.6,ALNA,AL
1998-08-01,1913.3,ALNA,AL
1998-09-01,1916.1,ALNA,AL
1998-10-01,1915.2,ALNA,AL
1998-11-01,1917.5,ALNA,AL
1998-12-01,1919.4,ALNA,AL
1999-01-01,1921.8,ALNA,AL
1999-02-01,1927.5,ALNA,AL
1999-03-01,1930.2,ALNA,AL
1999-04-01,1929.5,ALNA,AL
1999-05-01,1930.4,ALNA,AL
1999-06-01,1934.0,ALNA,AL
1999-07-01,1935.7,ALNA,AL
1999-08-01,1935.5,ALNA,AL
1999-09-01,1939.6,ALNA,AL
1999-10-01,1939.1,ALNA,AL
1999-11-01,1940.6,ALNA,AL
1999-12-01,1944.0,ALNA,AL
2000-01-01,1944.7,ALNA,AL
2000-02-01,1943.0,ALNA,AL
2000-03-01,1949.2,ALNA,AL
2000-04-01,1945.0,ALNA,AL
2000-05-01,1953.7,ALNA,AL
2000-06-01,1949.7,ALNA,AL
2000-07-01,1945.6,ALNA,AL
2000-08-01,1949.6,ALNA,AL
2000-09-01,1950.5,ALNA,AL
2000-10-01,1946.0,ALNA,AL
2000-11-01,1944.9,ALNA,AL
2000-12-01,1945.0,ALNA,AL
2001-01-01,1934.5,ALNA,AL
2001-02-01,1936.9,ALNA,AL
2001-03-01,1933.3,ALNA,AL
2001-04-01,1932.4,ALNA,AL
2001-05-01,1928.4,ALNA,AL
2001-06-01,1924.8,ALNA,AL
2001-07-01,1918.7,ALNA,AL
2001-08-01,1922.0,ALNA,AL
2001-09-01,1919.9,ALNA,AL
2001-10-01,1913.1,ALNA,AL
2001-11-01,1911.1,ALNA,AL
2001-12-01,1909.8,ALNA,AL
2002-01-01,1899.6,ALNA,AL
2002-02-01,1901.2,ALNA,AL
2002-03-01,1901.2,ALNA,AL
2002-04-01,1901.6,ALNA,AL
2002-05-01,1898.2,ALNA,AL
2002-06-01,1894.8,ALNA,AL
2002-07-01,1894.3,ALNA,AL
2002-08-01,1896.6,ALNA,AL
2002-09-01,1899.6,ALNA,AL
2002-10-01,1900.3,ALNA,AL
2002-11-01,1900.4,ALNA,AL
2002-12-01,1896.9,ALNA,AL
2003-01-01,1895.6,ALNA,AL
2003-02-01,1895.4,ALNA,AL
2003-03-01,1894.1,ALNA,AL
2003-04-01,1892.6,ALNA,AL
2003-05-01,1889.9,ALNA,AL
2003-06-01,1884.3,ALNA,AL
2003-07-01,1885.1,ALNA,AL
2003-08-01,1886.6,ALNA,AL
2003-09-01,1889.1,ALNA,AL
2003-10-01,1892.3,ALNA,AL
2003-11-01,1894.1,ALNA,AL
2003-12-01,1894.7,ALNA,AL
2004-01-01,1900.2,ALNA,AL
2004-02-01,1903.2,ALNA,AL
2004-03-01,1904.7,ALNA,AL
2004-04-01,1909.9,ALNA,AL
2004-05-01,1911.5,ALNA,AL
2004-06-01,1915.0,ALNA,AL
2004-07-01,1920.7,ALNA,AL
2004-08-01,1922.3,ALNA,AL
2004-09-01,1920.1,ALNA,AL
2004-10-01,1928.6,ALNA,AL
2004-11-01,1932.3,ALNA,AL
2004-12-01,1936.3,ALNA,AL
2005-01-01,1938.8,ALNA,AL
2005-02-01,1941.3,ALNA,AL
2005-03-01,1943.9,ALNA,AL
2005-04-01,1953.7,ALNA,AL
2005-05-01,1956.2,ALNA,AL
2005-06-01,1955.0,ALNA,AL
2005-07-01,1963.0,ALNA,AL
2005-08-01,1966.5,ALNA,AL
2005-09-01,1969.5,ALNA,AL
2005-10-01,1975.5,ALNA,AL
2005-11-01,1981.0,ALNA,AL
2005-12-01,1983.7,ALNA,AL
2006-01-01,1985.1,ALNA,AL
2006-02-01,1988.7,ALNA,AL
2006-03-01,1994.2,ALNA,AL
2006-04-01,1993.5,ALNA,AL
2006-05-01,1993.1,ALNA,AL
2006-06-01,1997.9,ALNA,AL
2006-07-01,1996.8,ALNA,AL
2006-08-01,2000.4,ALNA,AL
2006-09-01,2002.2,ALNA,AL
2006-10-01,1999.0,ALNA,AL
2006-11-01,2000.6,ALNA,AL
2006-12-01,2005.5,ALNA,AL
2007-01-01,2016.0,ALNA,AL
2007-02-01,2020.8,ALNA,AL
2007-03-01,2024.4,ALNA,AL
2007-04-01,2017.2,ALNA,AL
2007-05-01,2018.7,ALNA,AL
2007-06-01,2021.1,ALNA,AL
2007-07-01,2019.6,ALNA,AL
2007-08-01,2022.6,ALNA,AL
2007-09-01,2026.5,ALNA,AL
2007-10-01,2028.2,ALNA,AL
2007-11-01,2028.3,ALNA,AL
2007-12-01,2032.5,ALNA,AL
2008-01-01,2028.7,ALNA,AL
2008-02-01,2028.4,ALNA,AL
2008-03-01,2023.5,ALNA,AL
2008-04-01,2025.7,ALNA,AL
2008-05-01,2021.1,ALNA,AL
2008-06-01,2016.6,ALNA,AL
2008-07-01,2014.8,ALNA,AL
2008-08-01,2010.0,ALNA,AL
2008-09-01,2005.0,ALNA,AL
2008-10-01,1994.8,ALNA,AL
2008-11-01,1979.0,ALNA,AL
2008-12-01,1970.9,ALNA,AL
2009-01-01,1947.6,ALNA,AL
2009-02-01,1933.5,ALNA,AL
2009-03-01,1921.7,ALNA,AL
2009-04-01,1914.8,ALNA,AL
2009-05-01,1908.7,ALNA,AL
2009-06-01,1901.1,ALNA,AL
2009-07-01,1899.1,ALNA,AL
2009-08-01,1892.4,ALNA,AL
2009-09-01,1887.3,ALNA,AL
2009-10-01,1883.1,ALNA,AL
2009-11-01,1884.9,ALNA,AL
2009-12-01,1883.2,ALNA,AL
2010-01-01,1881.6,ALNA,AL
2010-02-01,1878.7,ALNA,AL
2010-03-01,1882.5,ALNA,AL
2010-04-01,1886.4,ALNA,AL
2010-05-01,1898.0,ALNA,AL
2010-06-01,1896.3,ALNA,AL
2010-07-01,1896.1,ALNA,AL
2010-08-01,1892.1,ALNA,AL
2010-09-01,1887.7,ALNA,AL
2010-10-01,1894.5,ALNA,AL
2010-11-01,1892.5,ALNA,AL
2010-12-01,1890.8,ALNA,AL
2011-01-01,1885.8,ALNA,AL
2011-02-01,1888.7,ALNA,AL
2011-03-01,1889.8,ALNA,AL
2011-04-01,1889.3,ALNA,AL
2011-05-01,1887.9,ALNA,AL
2011-06-01,1884.1,ALNA,AL
2011-07-01,1891.1,ALNA,AL
2011-08-01,1891.3,ALNA,AL
2011-09-01,1895.6,ALNA,AL
2011-10-01,1891.8,ALNA,AL
2011-11-01,1893.4,ALNA,AL
2011-12-01,1892.4,ALNA,AL
2012-01-01,1898.7,ALNA,AL
2012-02-01,1898.8,ALNA,AL
2012-03-01,1905.2,ALNA,AL
2012-04-01,1906.0,ALNA,AL
2012-05-01,1902.9,ALNA,AL
2012-06-01,1904.0,ALNA,AL
2012-07-01,1901.6,ALNA,AL
2012-08-01,1906.3,ALNA,AL
2012-09-01,1908.4,ALNA,AL
2012-10-01,1911.7,ALNA,AL
2012-11-01,1913.2,ALNA,AL
2012-12-01,1912.8,ALNA,AL
2013-01-01,1914.0,ALNA,AL
2013-02-01,1918.6,ALNA,AL
2013-03-01,1921.1,ALNA,AL
2013-04-01,1921.9,ALNA,AL
2013-05-01,1924.2,ALNA,AL
2013-06-01,1924.9,ALNA,AL
2013-07-01,1924.6,ALNA,AL
2013-08-01,1926.0,ALNA,AL
2013-09-01,1925.0,ALNA,AL
2013-10-01,1927.1,ALNA,AL
2013-11-01,1929.0,ALNA,AL
2013-12-01,1933.1,ALNA,AL
2014-01-01,1930.9,ALNA,AL
2014-02-01,1929.3,ALNA,AL
2014-03-01,1933.6,ALNA,AL
2014-04-01,1938.9,ALNA,AL
2014-05-01,1939.4,ALNA,AL
2014-06-01,1942.7,ALNA,AL
2014-07-01,1943.8,ALNA,AL
2014-08-01,1947.4,ALNA,AL
2014-09-01,1951.3,ALNA,AL
2014-10-01,1954.0,ALNA,AL
2014-11-01,1955.5,ALNA,AL
2014-12-01,1960.1,ALNA,AL
2015-01-01,1958.7,ALNA,AL
2015-02-01,1960.6,ALNA,AL
2015-03-01,1958.1,ALNA,AL
2015-04-01,1962.5,ALNA,AL
2015-05-01,1969.1,ALNA,AL
2015-06-01,1969.3,ALNA,AL
2015-07-01,1970.6,ALNA,AL
2015-08-01,1975.1,ALNA,AL
2015-09-01,1976.8,ALNA,AL
2015-10-01,1980.1,ALNA,AL
2015-11-01,1983.6,ALNA,AL
2015-12-01,1986.6,ALNA,AL
2016-01-01,1988.6,ALNA,AL
2016-02-01,1988.9,ALNA,AL
2016-03-01,1990.2,ALNA,AL
2016-04-01,1995.5,ALNA,AL
2016-05-01,1994.8,ALNA,AL
2016-06-01,1993.6,ALNA,AL
2016-07-01,1999.7,ALNA,AL
2016-08-01,1999.8,ALNA,AL
2016-09-01,2005.6,ALNA,AL
2016-10-01,2002.3,ALNA,AL
2016-11-01,2000.5,ALNA,AL
2016-12-01,2003.5,ALNA,AL
2017-01-01,2009.3,ALNA,AL
2017-02-01,2012.3,ALNA,AL
2017-03-01,2016.0,ALNA,AL
2017-04-01,2012.5,ALNA,AL
2017-05-01,2016.3,ALNA,AL
2017-06-01,2018.6,ALNA,AL
2017-07-01,2018.8,ALNA,AL
2017-08-01,2021.1,ALNA,AL
2017-09-01,2022.8,ALNA,AL
2017-10-01,2026.8,ALNA,AL
2017-11-01,2023.9,ALNA,AL
2017-12-01,2025.0,ALNA,AL
2018-01-01,2028.4,ALNA,AL
2018-02-01,2031.6,ALNA,AL
2018-03-01,2035.9,ALNA,AL
2018-04-01,2039.1,ALNA,AL
2018-05-01,2040.5,ALNA,AL
2018-06-01,2048.4,ALNA,AL
2018-07-01,2048.1,ALNA,AL
2018-08-01,2051.0,ALNA,AL
2018-09-01,2054.0,ALNA,AL
2018-10-01,2056.9,ALNA,AL
2018-11-01,2058.9,ALNA,AL
2018-12-01,2059.8,ALNA,AL
2019-01-01,2066.5,ALNA,AL
2019-02-01,2067.5,ALNA,AL
2019-03-01,2070.4,ALNA,AL
2019-04-01,2075.8,ALNA,AL
2019-05-01,2077.3,ALNA,AL
2019-06-01,2078.3,ALNA,AL
2019-07-01,2080.3,ALNA,AL
2019-08-01,2083.6,ALNA,AL
2019-09-01,2082.8,ALNA,AL
2019-10-01,2080.2,ALNA,AL
2019-11-01,2083.7,ALNA,AL
2019-12-01,2084.2,ALNA,AL
2020-01-01,2088.1,ALNA,AL
2020-02-01,2087.7,ALNA,AL
2020-03-01,2080.9,ALNA,AL
2020-04-01,1843.4,ALNA,AL
2020-05-01,1892.0,ALNA,AL
2020-06-01,1940.8,ALNA,AL
2020-07-01,1961.4,ALNA,AL
2020-08-01,1986.6,ALNA,AL
2020-09-01,1996.1,ALNA,AL
2020-10-01,2012.7,ALNA,AL
2020-11-01,2016.6,ALNA,AL
2020-12-01,2023.5,ALNA,AL
2021-01-01,2024.6,ALNA,AL
2021-02-01,2027.0,ALNA,AL
2021-03-01,2032.6,ALNA,AL
2021-04-01,2031.1,ALNA,AL
2021-05-01,2036.4,ALNA,AL
2021-06-01,2043.2,ALNA,AL
2021-07-01,2052.9,ALNA,AL
2021-08-01,2055.3,ALNA,AL
2021-09-01,2055.1,ALNA,AL
2021-10-01,2071.1,ALNA,AL
2021-11-01,2077.7,ALNA,AL
2021-12-01,2082.6,ALNA,AL
2022-01-01,2084.4,ALNA,AL
2022-02-01,2093.5,ALNA,AL
2022-03-01,2093.6,ALNA,AL
2022-04-01,2101.0,ALNA,AL
2022-05-01,2102.5,ALNA,AL
2022-06-01,2104.1,ALNA,AL
2022-07-01,2119.2,ALNA,AL
2022-08-01,2119.7,ALNA,AL
2022-09-01,2126.0,ALNA,AL
2022-10-01,2126.2,ALNA,AL
2022-11-01,2129.0,ALNA,AL
2022-12-01,2133.0,ALNA,AL
2023-01-01,2146.2,ALNA,AL
2023-02-01,2147.7,ALNA,AL
2023-03-01,2150.1,ALNA,AL
2023-04-01,2152.9,ALNA,AL
2023-05-01,2155.3,ALNA,AL
